user_x, user_y, agv_x, agv_y, gaze_vector_x, gaze_vector_y, gaze_vector_z, user_yaw, agv_user_distance_x, agv_user_distance_y, agv_speed_x, agv_speed_y, user_velocity_x, user_velocity_y, is_user_moving, intent_to_cross, gazing_station, gazing_station_cos, facing_sidewalk, facing_road, on_sidewalk, on_road, closest_station, distance_to_closest_station_x, distance_to_closest_station_y, looking_at_agv, start_station_id, end_station_id, distance_from_start_station_x, distance_from_start_station_y, distance_from_end_station_x, distance_from_end_station_y, facing_start_station, facing_end_station
13198.32031,5958.235352,15084.72656,6680,-0.820583,0.108183,-0.5348,45,1886.40625,721.764648,14237.80756,0.209961,11720.47632,52.208496,TRUE,TRUE,1,0.995076,TRUE,FALSE,TRUE,FALSE,8,120.679688,162.235352,FALSE,8,6,120.679688,162.235352,5559.320312,172.235352,FALSE,TRUE
13185.79199,5945.08252,14956.59375,6679.986816,-0.677611,0.473486,-0.549181,45,1770.801758,734.904297,128.132812,0.013184,-12.52832,-13.152832,FALSE,TRUE,5,0.988489,TRUE,FALSE,TRUE,FALSE,8,133.208008,149.08252,FALSE,8,6,133.208008,149.08252,5546.791992,159.08252,FALSE,TRUE
13175.46777,5936.296875,14655.00488,6679.95166,-0.737,0.524514,-0.417944,45,1479.537109,743.654785,301.588867,0.035156,-10.324219,-8.785645,FALSE,TRUE,5,0.987465,TRUE,FALSE,FALSE,FALSE,8,143.532227,140.296875,FALSE,8,6,143.532227,140.296875,5536.467773,150.296875,FALSE,TRUE
13104.71973,5947.788086,14169.93262,6679.850098,-0.747056,0.377472,-0.525306,45,1065.212891,732.062012,485.072266,0.101562,-70.748047,11.491211,FALSE,TRUE,5,0.99999,TRUE,FALSE,TRUE,FALSE,8,214.280273,151.788086,FALSE,8,6,214.280273,151.788086,5465.719727,161.788086,FALSE,TRUE
13022.16602,5969.455566,13519.19922,6679.664551,-0.82075,0.052611,-0.558875,45,497.033203,710.208984,650.733398,0.185547,-82.553711,21.66748,TRUE,TRUE,2,0.996893,TRUE,FALSE,TRUE,FALSE,8,296.833984,173.455566,FALSE,8,6,296.833984,173.455566,5383.166016,183.455566,FALSE,TRUE
12890.14844,5890.668945,12850.15918,6679.466309,-0.878042,0.007718,-0.462817,45,39.989258,788.797363,669.040039,0.198242,-132.017578,-78.786621,TRUE,TRUE,2,0.999858,TRUE,FALSE,FALSE,FALSE,8,428.851562,94.668945,FALSE,8,6,428.851562,94.668945,5251.148438,104.668945,FALSE,TRUE
12781.03418,5791.458984,12180.98633,6679.26709,-0.897806,0.123917,-0.420194,45,600.047852,887.808105,669.172852,0.199219,-109.114258,-99.209961,TRUE,TRUE,1,0.99334,TRUE,FALSE,FALSE,FALSE,8,537.96582,4.541016,FALSE,8,6,537.96582,4.541016,5142.03418,5.458984,FALSE,TRUE
12610.08008,5702.1875,11507.03711,6679.059082,-0.868944,0.233014,-0.435375,45,1103.042969,976.871582,673.949219,0.208008,-170.954102,-89.271484,TRUE,TRUE,1,0.999998,TRUE,FALSE,FALSE,FALSE,8,708.919922,93.8125,TRUE,8,6,708.919922,93.8125,4971.080078,83.8125,FALSE,TRUE
12396.36523,5658.833496,10833.02637,6678.848633,-0.874014,0.301931,-0.378222,45,1563.338867,1020.015137,674.010742,0.210449,-213.714844,-43.354004,TRUE,TRUE,1,0.998201,TRUE,FALSE,FALSE,FALSE,8,922.634766,137.166504,TRUE,8,6,922.634766,137.166504,4757.365234,127.166504,FALSE,TRUE
12167.0166,5681.414551,10158.77344,6678.638184,-0.845111,0.341417,-0.408514,45,2008.243164,997.223633,674.25293,0.210449,-229.348633,22.581055,TRUE,TRUE,3,0.998358,TRUE,FALSE,FALSE,FALSE,8,1151.983398,114.585449,TRUE,8,6,1151.983398,114.585449,4528.016602,104.585449,FALSE,TRUE
11954.21094,5683.077148,9485.004883,6678.427734,-0.902014,0.256847,-0.345847,45,2469.206055,995.350586,673.768555,0.210449,-212.805664,1.662598,TRUE,TRUE,1,0.999992,TRUE,FALSE,FALSE,FALSE,8,1364.789062,112.922852,TRUE,8,6,1364.789062,112.922852,4315.210938,102.922852,FALSE,TRUE
11743.50586,5645.353027,8816.206055,6678.218262,-0.871282,0.306141,-0.376085,45,2927.299805,1032.865234,668.798828,0.209473,-210.705078,-37.724121,TRUE,TRUE,1,0.998874,TRUE,FALSE,FALSE,FALSE,8,1575.494141,150.646973,TRUE,8,6,1575.494141,150.646973,4104.505859,140.646973,FALSE,TRUE
11490.25293,5646.735352,8147.362305,6678.002441,-0.799306,0.416764,-0.431403,45,3342.890625,1031.26709,668.84375,0.21582,-253.25293,1.382324,TRUE,TRUE,3,0.999946,TRUE,FALSE,FALSE,FALSE,8,1828.74707,149.264648,TRUE,8,6,1828.74707,149.264648,3851.25293,139.264648,FALSE,TRUE
11220.26367,5707.369629,7474.054688,6677.781738,-0.742819,0.41275,-0.520639,45,3746.208984,970.412109,673.307617,0.220703,-269.989258,60.634277,TRUE,TRUE,3,0.999991,TRUE,FALSE,FALSE,FALSE,8,2098.736328,88.630371,TRUE,8,6,2098.736328,88.630371,3581.263672,78.630371,FALSE,TRUE
10985.42676,5746.834961,6800.214844,6677.560059,-0.766611,0.283139,-0.569153,45,4185.211914,930.725098,673.839844,0.22168,-234.836914,39.465332,TRUE,TRUE,1,0.998689,TRUE,FALSE,FALSE,FALSE,8,2333.573242,49.165039,TRUE,8,6,2333.573242,49.165039,3346.426758,39.165039,FALSE,TRUE
10730.1416,5742.428711,6126.384277,6677.337891,-0.862472,0.260667,-0.432167,45,4603.757324,934.90918,673.830566,0.222168,-255.285156,-4.40625,TRUE,TRUE,1,0.999848,TRUE,FALSE,FALSE,FALSE,8,2588.858398,53.571289,TRUE,8,6,2588.858398,53.571289,3091.141602,43.571289,FALSE,TRUE
10438.14746,5742.152344,5452.701172,6677.116211,-0.861722,0.371375,-0.343014,45,4985.446289,934.963867,673.683105,0.22168,-291.994141,-0.276367,TRUE,TRUE,1,0.996272,TRUE,FALSE,FALSE,FALSE,6,2799.147461,43.847656,TRUE,8,6,2880.852539,53.847656,2799.147461,43.847656,FALSE,TRUE
10226.64063,5774.047852,4784.214355,6676.892578,-0.848676,0.421577,-0.31831,45,5442.42627,902.844727,668.486816,0.223633,-211.506836,31.895508,TRUE,TRUE,3,0.992617,TRUE,FALSE,FALSE,FALSE,6,2587.640625,11.952148,TRUE,8,6,3092.359375,21.952148,2587.640625,11.952148,FALSE,TRUE
