PID,SCN,TimestampID,Timestamp,DatapointID,AGV_name,User_X,User_Y,User_Z,User_Pitch,User_Yaw,User_Roll,U_X,U_Y,U_Z,AGV_X,AGV_Y,AGV_Z,AGV_Pitch,AGV_Yaw,AGV_Roll,AGV_speed,EyeTarget,GazeOrigin_X,GazeOrigin_Y,GazeOrigin_Z,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,Confidence
2,NSL,1,10:52:59,1,AGV1,1616.606,8422.421,-209.725,-44.502184,-92.298693,14.798318,-36.217,-165.869,177.429,3700.0,11579.905,-296.1,0.108347,-90.0,9e-06,0.0,BP_Affordance_C_0,1652.823,8588.29,-32.296,0.096,0.363,-0.927,0.998047
2,NSL,1,10:52:59,8,AGV1,1616.606,8422.421,-209.725,-44.645098,-91.282786,14.633821,-36.159,-166.278,177.468,3699.994,11579.698,-288.6,0.31066,-89.99999,0.008001,0.041104,BP_Affordance_C_0,1652.765,8588.7,-32.257,0.102,0.371,-0.923,0.998047
2,NSL,1,10:52:59,15,AGV1,1616.606,8422.421,-209.725,-44.873146,-87.374009,13.052562,-35.818,-165.724,178.026,3699.996,11578.244,-279.504,0.532022,-90.000169,0.006881,0.410397,BP_Affordance_C_0,1652.424,8588.145,-31.699,0.055,0.362,-0.93,0.998047
2,NSL,1,10:52:59,22,AGV1,1616.606,8422.421,-209.725,-43.476482,-74.924001,8.112558,-34.439,-164.311,179.933,3700.001,11575.344,-277.493,0.569677,-90.000277,0.001909,0.768501,BP_Affordance_C_0,1651.045,8586.732,-29.792,-0.063,0.383,-0.922,0.998047
2,NSL,1,10:52:59,29,AGV1,1616.606,8422.421,-209.725,-41.715321,-59.773626,1.289067,-33.064,-161.587,182.919,3700.003,11570.875,-281.303,0.50014,-90.000078,0.000417,1.135568,BP_Affordance_C_0,1649.67,8584.008,-26.806,-0.478,0.312,-0.821,0.998047
2,NSL,1,10:52:59,36,AGV1,1616.606,8422.421,-209.725,-38.420663,-53.023517,-1.20848,-31.506,-157.024,185.283,3700.002,11564.729,-285.127,0.489078,-89.999575,0.003443,1.51668,NW_FactoryFloor77,1648.112,8579.445,-24.442,-0.6,0.303,-0.74,0.998047
2,NSL,1,10:52:59,43,AGV1,1618.448,8422.662,-209.725,-36.020501,-51.285519,4.038882,-27.512,-151.505,186.828,3700.0,11556.875,-285.601,0.560259,-89.998983,0.006261,1.896272,NW_FactoryFloor77,1645.129,8573.99,-22.897,-0.509,0.37,-0.777,0.998047
2,NSL,2,10:53:0,1,AGV1,1633.923,8428.635,-209.725,-37.603299,-41.026055,8.003661,-21.712,-143.895,187.432,3700.001,11547.375,-283.743,0.619379,-89.99844,0.00597,2.276512,NW_FactoryFloor77,1652.613,8571.044,-22.293,-0.468,0.093,-0.879,0.998047
2,NSL,2,10:53:0,8,AGV1,1646.776,8437.532,-209.725,-36.320683,-29.414006,8.619981,-17.526,-136.48,187.681,3700.004,11536.382,-282.193,0.602396,-89.997915,0.003991,2.647439,NW_FactoryFloor77,1663.943,8573.65,-22.044,-0.487,0.011,-0.874,0.998047
2,NSL,2,10:53:0,15,AGV1,1648.318,8438.973,-209.725,-36.560325,-16.861981,6.870431,-15.451,-130.847,188.327,3700.006,11523.742,-282.167,0.53792,-89.997315,0.002859,3.017037,NW_FactoryFloor77,1663.625,8569.681,-21.398,-0.497,-0.047,-0.867,0.998047
2,NSL,2,10:53:0,22,AGV1,1649.989,8441.826,-209.725,-34.016485,-7.87076,3.765077,-14.995,-127.443,189.207,3700.007,11509.483,-283.031,0.493427,-89.996628,0.003294,3.390244,NW_FactoryFloor77,1664.84,8568.725,-20.518,-0.745,-0.333,-0.578,0.998047
2,NSL,2,10:53:0,29,AGV1,1650.355,8443.09,-209.725,-32.120495,0.991411,0.408872,-15.392,-125.129,189.777,3700.008,11493.552,-283.642,0.499672,-89.9959,0.004245,3.763597,NW_FactoryFloor85,1665.458,8568.531,-19.939,-0.737,-0.357,-0.573,0.998047
