PID,SCN,TimestampID,Timestamp,DatapointID,AGV_name,User_X,User_Y,User_Z,User_Pitch,User_Yaw,User_Roll,U_X,U_Y,U_Z,AGV_X,AGV_Y,AGV_Z,AGV_Pitch,AGV_Yaw,AGV_Roll,AGV_speed,EyeTarget,GazeOrigin_X,GazeOrigin_Y,GazeOrigin_Z,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,Confidence
2,SLD,1,10:35:25,1,AGV1,1615.191,8404.966,-209.725,-38.05522,-89.756079,10.91022,-50.769,-172.854,172.506,3700.0,11579.905,-296.103,0.108306,-90.0,8e-06,0.0,BP_Affordance_C_0,1666.027,8577.677,-37.219,0.007,0.544,-0.839,0.998047
2,SLD,1,10:35:25,8,AGV1,1615.423,8407.263,-209.725,-37.864134,-87.793048,8.735962,-50.691,-173.117,174.298,3699.993,11579.696,-288.582,0.311485,-90.000001,0.008392,0.041519,BP_Affordance_C_0,1666.052,8580.023,-35.427,-0.042,0.563,-0.825,0.998047
2,SLD,1,10:35:25,15,AGV1,1615.822,8410.638,-209.725,-37.128793,-85.269509,7.954835,-50.175,-172.309,176.849,3699.996,11578.246,-279.537,0.531987,-90.00017,0.007065,0.410776,BP_Affordance_C_0,1665.978,8582.679,-32.876,-0.062,0.566,-0.822,0.998047
2,SLD,1,10:35:25,22,AGV1,1615.929,8412.279,-209.725,-37.105151,-80.932109,5.246575,-49.458,-169.798,179.944,3700.001,11575.333,-277.509,0.568533,-90.000274,0.001867,0.770007,BP_Affordance_C_0,1665.387,8582.077,-29.781,-0.159,0.487,-0.859,0.998047
2,SLD,1,10:35:25,29,AGV1,1615.912,8412.372,-209.725,-35.637802,-75.709382,1.565959,-49.05,-166.264,183.394,3700.003,11570.837,-281.33,0.498408,-90.000065,0.00036,1.136603,BP_Affordance_C_0,1664.967,8578.59,-26.331,-0.263,0.458,-0.849,0.998047
2,SLD,1,10:35:25,36,AGV1,1616.077,8412.602,-209.725,-35.010434,-68.198698,-1.147403,-49.009,-161.823,186.419,3700.002,11564.67,-285.132,0.488481,-89.999552,0.003449,1.518014,BP_Affordance_C_0,1665.062,8574.392,-23.306,-0.371,0.358,-0.857,0.998047
2,SLD,1,10:35:25,43,AGV1,1616.216,8412.864,-209.725,-32.977346,-59.014456,-3.492175,-49.449,-156.392,188.759,3700.0,11556.803,-285.587,0.560487,-89.998954,0.00628,1.898277,BP_Affordance_C_0,1665.65,8569.218,-20.966,-0.462,0.3,-0.835,0.998047
2,SLD,2,10:35:26,4,AGV1,1616.344,8413.134,-209.725,-30.692255,-50.072246,-4.933274,-50.437,-151.177,191.546,3700.002,11547.321,-283.738,0.619548,-89.998409,0.005972,2.277446,BP_Affordance_C_0,1666.761,8564.274,-18.179,-0.54,0.236,-0.808,0.998047
2,SLD,2,10:35:26,11,AGV1,1617.519,8414.219,-209.725,-27.505358,-43.466295,-5.604143,-50.73,-146.104,194.735,3700.005,11536.27,-282.192,0.602323,-89.997879,0.003976,2.648432,BP_Affordance_C_0,1668.167,8560.185,-14.99,-0.605,0.203,-0.77,0.998047
2,SLD,2,10:35:26,18,AGV1,1617.925,8414.523,-209.725,-22.379744,-39.371241,-3.191691,-49.744,-140.865,197.56,3700.007,11523.601,-282.174,0.537703,-89.997276,0.002858,3.019767,BP_Affordance_C_0,1667.51,8555.327,-12.165,-0.656,0.19,-0.73,0.998047
2,SLD,2,10:35:26,25,AGV1,1618.393,8415.173,-209.725,-17.234031,-33.177095,1.527652,-47.446,-135.008,199.211,3700.008,11509.334,-283.035,0.493427,-89.996586,0.003301,3.391745,BP_Affordance_C_0,1665.838,8550.089,-10.514,-0.728,0.184,-0.661,0.998047
2,SLD,2,10:35:26,32,AGV1,1618.598,8415.765,-209.725,-13.442717,-23.054047,6.913111,-44.082,-129.02,200.285,3700.008,11493.355,-283.641,0.499864,-89.995856,0.004254,3.767669,BP_Affordance_C_0,1662.571,8544.699,-9.44,-0.737,0.098,-0.669,0.998047
2,SLD,2,10:35:26,39,AGV1,1619.193,8416.144,-209.725,-14.533314,-10.98241,10.88583,-40.645,-122.815,200.094,3700.009,11475.79,-283.57,0.534979,-89.995135,0.004632,4.139552,BP_Affordance_C_0,1659.791,8538.961,-9.631,-0.692,0.017,-0.722,0.998047
