AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1612.922,8454.296,3700.0,11579.905,0.342,0.228,-0.912
AGV1,1612.922,8454.296,3699.993,11579.69,0.328,0.23,-0.916
AGV1,1612.922,8454.296,3699.996,11578.214,0.316,0.217,-0.924
AGV1,1612.922,8454.296,3700.001,11575.241,0.322,0.204,-0.925
AGV1,1612.922,8454.296,3700.003,11570.79,0.186,-0.084,-0.979
AGV1,1612.922,8454.296,3700.002,11564.608,0.21,-0.067,-0.975
AGV1,1612.922,8454.296,3700.0,11556.739,0.274,-0.082,-0.958
AGV1,1612.922,8454.296,3700.002,11547.25,0.517,-0.214,-0.829
AGV1,1612.922,8454.296,3700.005,11536.191,0.506,-0.184,-0.843
AGV1,1615.637,8458.217,3700.007,11523.603,0.51,-0.036,-0.859
AGV1,1625.241,8469.003,3700.008,11509.309,0.535,0.02,-0.845
AGV1,1631.444,8473.96,3700.008,11493.339,0.318,-0.349,-0.881
AGV1,1632.204,8474.586,3700.009,11475.776,0.223,-0.5,-0.837
AGV1,1632.204,8474.586,3700.011,11456.589,0.232,-0.591,-0.773
AGV1,1632.204,8474.586,3700.013,11435.587,0.135,-0.957,-0.258
AGV1,1632.156,8474.607,3700.015,11413.375,-0.026,-0.999,-0.038
AGV1,1631.239,8476.038,3700.017,11389.225,0.019,-0.997,-0.077
AGV1,1633.548,8483.26,3700.02,11363.527,-0.086,-0.996,0.008
AGV1,1645.062,8485.906,3700.022,11336.226,-0.089,-0.996,-0.023
AGV1,1662.181,8478.993,3700.025,11307.301,-0.087,-0.996,-0.029
AGV1,1675.173,8469.734,3700.028,11276.764,-0.065,-0.995,-0.075
AGV1,1685.035,8456.08,3700.032,11244.78,-0.045,-0.995,-0.087
AGV1,1693.093,8440.142,3700.036,11211.113,-0.043,-0.997,-0.071
AGV1,1700.45,8423.639,3700.041,11175.667,-0.036,-0.993,-0.115
AGV1,1703.617,8415.96,3700.046,11138.67,-0.024,-0.996,-0.08
AGV1,1706.81,8408.466,3700.052,11100.286,-0.013,-0.997,-0.073
AGV1,1712.201,8391.348,3700.059,11059.974,-0.029,-0.997,-0.074
AGV1,1720.385,8365.096,3700.067,11017.995,-0.036,-0.997,-0.069
AGV1,1729.001,8347.15,3700.075,10974.327,-0.021,-0.996,-0.083
AGV1,1737.312,8326.943,3700.084,10928.921,-0.04,-0.991,-0.127
AGV1,1743.508,8301.084,3700.094,10881.345,-0.055,-0.996,-0.07
AGV1,1750.33,8267.719,3700.104,10831.996,-0.059,-0.995,-0.086
AGV1,1755.66,8233.83,3700.116,10780.735,-0.06,-0.993,-0.099
AGV1,1758.652,8208.84,3700.129,10726.926,-0.034,-0.995,-0.09
AGV1,1760.621,8183.4,3700.143,10671.224,-0.017,-0.998,-0.06
AGV1,1762.397,8149.744,3700.158,10613.059,-0.029,-0.997,-0.071
AGV1,1763.94,8117.158,3700.174,10552.418,-0.029,-0.996,-0.089
AGV1,1764.543,8096.084,3700.192,10489.231,-0.044,-0.993,-0.111
AGV1,1764.264,8077.653,3700.211,10423.648,-0.047,-0.995,-0.086
AGV1,1762.733,8056.37,3700.231,10358.291,-0.043,-0.995,-0.084
AGV1,1758.902,8026.694,3700.25,10293.192,-0.034,-0.995,-0.092
AGV1,1754.436,8001.307,3700.269,10227.699,-0.049,-0.993,-0.104
AGV1,1750.991,7983.576,3700.289,10162.003,-0.048,-0.996,-0.08
AGV1,1747.434,7960.518,3700.308,10096.715,-0.04,-0.99,-0.136
AGV1,1742.597,7935.214,3700.328,10031.35,-0.09,-0.992,-0.09
AGV1,1736.772,7907.536,3700.347,9965.694,-0.084,-0.992,-0.094
AGV1,1730.734,7878.503,3700.366,9900.532,-0.082,-0.992,-0.099
AGV1,1726.062,7854.447,3700.385,9834.599,-0.082,-0.99,-0.118
AGV1,1721.289,7831.416,3699.957,9769.57,-0.106,-0.98,-0.166
AGV1,1715.351,7803.832,3698.25,9703.796,-0.091,-0.993,-0.079
AGV1,1708.216,7771.34,3697.445,9638.548,-0.098,-0.989,-0.108
AGV1,1699.797,7732.424,3696.578,9572.789,-0.091,-0.99,-0.108
AGV1,1692.36,7696.549,3694.905,9507.396,-0.082,-0.992,-0.098
AGV1,1687.748,7671.911,3692.92,9442.082,-0.088,-0.989,-0.121
AGV1,1684.948,7651.786,3691.38,9376.359,-0.085,-0.991,-0.104
AGV1,1683.494,7624.992,3689.694,9310.653,-0.077,-0.992,-0.102
AGV1,1681.454,7591.048,3686.891,9245.583,-0.066,-0.988,-0.14
AGV1,1680.501,7563.973,3684.623,9180.322,-0.082,-0.988,-0.132
AGV1,1680.104,7538.88,3682.339,9114.164,-0.063,-0.993,-0.099
AGV1,1679.883,7510.409,3679.198,9049.207,-0.024,-0.996,-0.087
AGV1,1679.766,7477.74,3676.431,8983.681,-0.023,-0.997,-0.073
AGV1,1680.083,7441.677,3673.63,8918.905,0.005,-0.998,-0.063
AGV1,1680.619,7415.876,3669.515,8853.577,0.002,-0.998,-0.064
AGV1,1681.45,7403.558,3665.713,8788.136,-0.027,-0.995,-0.1
AGV1,1683.358,7389.209,3662.176,8722.438,-0.015,-0.993,-0.112
AGV1,1686.428,7372.806,3658.499,8657.203,-0.003,-0.998,-0.056
AGV1,1691.357,7348.334,3653.483,8591.72,-0.01,-0.999,-0.045
AGV1,1708.659,7272.935,3635.181,8367.856,-0.028,-0.996,-0.079
AGV1,1712.935,7253.405,3629.113,8302.296,-0.072,-0.995,-0.063
AGV1,1716.998,7233.316,3623.145,8237.01,-0.075,-0.993,-0.091
AGV1,1719.463,7221.035,3615.459,8172.32,-0.099,-0.993,-0.062
AGV1,1721.27,7212.659,3604.325,8107.417,-0.096,-0.99,-0.106
AGV1,1724.475,7197.996,3595.053,8042.716,-0.086,-0.991,-0.101
AGV1,1727.935,7178.43,3586.046,7977.758,-0.068,-0.992,-0.106
AGV1,1731.725,7157.907,3575.569,7913.161,-0.065,-0.996,-0.068
AGV1,1737.757,7126.941,3561.181,7849.317,-0.093,-0.993,-0.073
AGV1,1744.885,7091.484,3540.519,7787.709,-0.072,-0.993,-0.094
AGV1,1750.617,7061.989,3518.728,7724.857,-0.086,-0.99,-0.113
AGV1,1754.253,7037.795,3499.137,7662.113,-0.096,-0.993,-0.071
AGV1,1756.505,7012.368,3477.913,7600.833,-0.107,-0.993,-0.053
AGV1,1757.776,6984.775,3451.359,7540.697,-0.11,-0.989,-0.094
AGV1,1758.322,6955.937,3419.098,7484.213,-0.104,-0.988,-0.111
AGV1,1758.421,6939.836,3382.071,7429.154,-0.102,-0.99,-0.094
AGV1,1758.836,6924.64,3341.483,7377.614,-0.118,-0.982,-0.149
AGV1,1759.55,6901.121,3297.005,7328.844,-0.108,-0.988,-0.107
AGV1,1758.633,6878.346,3250.171,7282.673,-0.096,-0.989,-0.112
AGV1,1756.371,6852.362,3201.958,7237.439,-0.094,-0.989,-0.115
AGV1,1754.18,6832.558,3151.799,7195.464,-0.081,-0.988,-0.131
AGV1,1750.894,6814.716,3097.285,7157.819,-0.091,-0.984,-0.154
AGV1,1746.561,6796.545,3041.782,7122.693,-0.073,-0.988,-0.134
AGV1,1741.039,6777.632,2987.118,7088.063,-0.074,-0.991,-0.113
AGV1,1734.152,6757.334,2929.762,7055.951,-0.07,-0.99,-0.125
AGV1,1725.681,6734.698,2870.466,7029.695,-0.054,-0.994,-0.093
AGV1,1718.189,6715.584,2810.729,7000.458,-0.062,-0.995,-0.08
AGV1,1710.909,6697.03,2752.746,6970.146,-0.062,-0.994,-0.087
AGV1,1703.64,6677.948,2694.361,6940.518,-0.047,-0.995,-0.088
AGV1,1696.141,6657.157,2635.01,6913.462,-0.032,-0.995,-0.089
AGV1,1687.369,6631.421,2573.636,6891.609,-0.021,-0.994,-0.104
AGV1,1685.404,6618.554,2510.483,6876.082,-0.027,-0.992,-0.124
AGV1,1687.348,6610.435,2445.354,6863.98,-0.035,-0.987,-0.159
AGV1,1686.257,6595.802,2387.176,6850.6,-0.065,-0.99,-0.126
AGV1,1681.85,6578.027,2340.593,6839.111,-0.062,-0.992,-0.111
AGV1,1674.786,6554.615,2306.729,6830.824,-0.057,-0.99,-0.132
AGV1,1666.919,6527.581,2285.907,6825.644,-0.064,-0.989,-0.133
AGV1,1659.901,6499.858,2277.58,6823.476,-0.031,-0.991,-0.129
AGV1,1657.264,6488.484,2276.601,6823.187,-0.034,-0.989,-0.147
AGV1,1656.126,6477.753,2276.127,6823.05,0.006,-0.993,-0.118
AGV1,1654.908,6462.969,2275.876,6822.99,0.023,-0.993,-0.116
AGV1,1654.174,6447.599,2275.871,6822.998,0.027,-0.994,-0.104
AGV1,1656.389,6442.418,2276.0,6823.034,0.004,-0.99,-0.139
AGV1,1658.214,6428.427,2276.136,6823.065,-0.023,-0.993,-0.116
AGV1,1658.806,6405.396,2276.202,6823.079,-0.035,-0.992,-0.121
AGV1,1658.298,6385.779,2276.192,6823.076,-0.032,-0.994,-0.107
AGV1,1657.812,6355.548,2276.168,6823.07,-0.045,-0.994,-0.101
AGV1,1657.233,6321.331,2275.3,6822.77,-0.11,-0.984,-0.14
AGV1,1656.717,6286.611,2273.019,6821.816,-0.104,-0.98,-0.167
AGV1,1656.42,6254.468,2269.211,6820.501,-0.114,-0.97,-0.214
AGV1,1656.353,6226.391,2263.774,6819.05,-0.099,-0.976,-0.196
AGV1,1656.396,6196.721,2256.795,6817.221,-0.088,-0.978,-0.189
AGV1,1656.34,6165.065,2248.254,6814.989,-0.074,-0.977,-0.202
AGV1,1656.017,6138.528,2238.233,6812.387,-0.002,-0.971,-0.24
AGV1,1655.282,6118.87,2226.458,6809.321,-0.03,-0.969,-0.243
AGV1,1653.819,6096.921,2213.224,6805.62,-0.016,-0.962,-0.273
