AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1699.808,8505.266,3700.0,11579.905,-0.555,-0.1,-0.826
AGV1,1699.808,8505.266,3699.993,11579.696,-0.521,-0.085,-0.85
AGV1,1699.808,8505.266,3699.996,11578.248,-0.5,-0.084,-0.862
AGV1,1699.618,8505.645,3700.001,11575.329,-0.509,-0.094,-0.856
AGV1,1697.732,8507.233,3700.004,11570.865,-0.501,-0.132,-0.855
AGV1,1693.539,8508.279,3700.002,11564.694,-0.364,-0.49,-0.792
AGV1,1689.259,8508.403,3700.0,11556.817,-0.322,-0.538,-0.779
AGV1,1685.695,8508.157,3700.002,11547.407,-0.3,-0.587,-0.752
AGV1,1683.148,8508.093,3700.005,11536.347,-0.345,-0.598,-0.723
AGV1,1681.036,8508.159,3700.007,11523.705,-0.37,-0.663,-0.651
AGV1,1678.401,8507.579,3700.008,11509.485,-0.184,-0.943,-0.276
AGV1,1674.839,8507.059,3700.008,11493.655,-0.105,-0.975,-0.198
AGV1,1671.915,8506.491,3700.009,11476.129,-0.147,-0.966,-0.213
AGV1,1669.104,8505.667,3700.011,11457.015,0.069,-0.971,-0.229
AGV1,1668.55,8505.855,3700.013,11436.167,0.079,-0.97,-0.23
AGV1,1669.393,8505.525,3700.016,11413.786,0.21,-0.898,-0.387
AGV1,1671.016,8506.956,3700.018,11389.76,0.252,-0.891,-0.376
AGV1,1671.909,8508.591,3700.02,11364.154,0.605,-0.769,-0.207
AGV1,1669.664,8510.08,3700.022,11336.96,0.712,-0.673,-0.199
AGV1,1665.04,8513.218,3700.025,11308.06,0.78,-0.611,-0.135
AGV1,1655.969,8518.543,3700.029,11277.561,0.843,-0.527,-0.106
AGV1,1647.429,8520.519,3700.032,11245.551,0.842,-0.524,-0.129
AGV1,1644.965,8520.272,3700.036,11211.682,0.804,-0.58,-0.134
AGV1,1641.042,8516.921,3700.041,11176.491,0.219,-0.963,-0.157
AGV1,1636.53,8512.126,3700.047,11139.681,-0.412,-0.884,-0.22
AGV1,1631.262,8506.414,3700.052,11101.136,-0.614,-0.767,-0.186
AGV1,1633.495,8508.85,3700.059,11060.839,-0.781,-0.604,-0.159
AGV1,1630.316,8504.735,3700.067,11018.917,-0.781,-0.598,-0.181
AGV1,1622.264,8493.652,3700.075,10975.299,-0.659,-0.726,-0.197
AGV1,1614.939,8482.236,3700.084,10929.867,-0.085,-0.966,-0.244
AGV1,1609.234,8470.646,3700.094,10882.591,0.727,-0.669,-0.158
AGV1,1606.746,8464.641,3700.104,10833.253,0.89,-0.43,-0.153
AGV1,1605.408,8460.903,3700.116,10782.045,0.95,-0.283,-0.131
AGV1,1601.421,8450.301,3700.129,10728.775,0.979,-0.148,-0.14
AGV1,1591.05,8431.737,3700.143,10672.625,0.988,-0.117,-0.101
AGV1,1582.866,8415.395,3700.158,10614.347,0.989,-0.108,-0.101
AGV1,1573.37,8394.556,3700.174,10553.763,0.994,-0.012,-0.107
AGV1,1567.627,8381.692,3700.192,10490.985,0.994,0.025,-0.102
AGV1,1562.361,8368.375,3700.211,10425.201,0.987,0.077,-0.14
AGV1,1554.502,8347.417,3700.231,10359.597,0.974,0.123,-0.191
AGV1,1546.435,8322.394,3700.25,10294.117,0.974,0.131,-0.185
AGV1,1539.413,8295.279,3700.269,10228.992,0.968,0.189,-0.165
AGV1,1535.309,8276.745,3700.289,10163.318,0.957,0.246,-0.151
AGV1,1532.409,8261.108,3700.308,10097.781,0.938,0.294,-0.182
AGV1,1526.369,8235.001,3700.328,10032.376,0.926,0.336,-0.174
AGV1,1515.682,8197.874,3700.347,9967.285,0.9,0.404,-0.165
AGV1,1506.419,8170.421,3700.367,9901.323,0.915,0.387,-0.117
AGV1,1500.512,8154.047,3700.385,9835.823,0.944,0.303,-0.128
AGV1,1491.233,8126.143,3699.961,9770.752,0.975,0.181,-0.127
AGV1,1480.619,8090.594,3698.112,9700.066,0.983,0.079,-0.166
AGV1,1471.343,8053.101,3697.251,9632.925,0.984,0.101,-0.146
AGV1,1464.136,8018.489,3696.325,9566.185,0.978,0.142,-0.152
AGV1,1459.404,7997.519,3694.676,9500.423,0.964,0.212,-0.162
AGV1,1450.854,7976.541,3692.227,9435.099,0.956,0.253,-0.147
AGV1,1442.457,7960.691,3690.505,9369.004,0.948,0.27,-0.169
AGV1,1436.755,7943.201,3688.759,9303.694,0.942,0.273,-0.194
AGV1,1430.491,7925.11,3686.804,9238.258,0.949,0.245,-0.2
AGV1,1428.054,7917.89,3684.245,9177.294,0.958,0.219,-0.183
AGV1,1428.644,7915.892,3682.349,9123.475,0.96,0.215,-0.178
AGV1,1429.31,7914.427,3680.625,9077.152,0.963,0.203,-0.177
AGV1,1431.632,7911.413,3678.638,9037.717,0.97,0.185,-0.158
AGV1,1433.259,7908.904,3676.679,9007.164,0.967,0.179,-0.179
AGV1,1433.255,7906.826,3675.74,8985.91,0.964,0.193,-0.185
AGV1,1433.081,7905.967,3674.834,8965.947,0.962,0.205,-0.177
AGV1,1433.081,7905.967,3673.837,8943.985,0.964,0.219,-0.148
AGV1,1433.362,7905.72,3672.871,8922.361,0.965,0.221,-0.139
AGV1,1433.387,7905.583,3671.914,8900.736,0.966,0.213,-0.146
AGV1,1433.387,7905.583,3670.931,8879.376,0.969,0.2,-0.144
AGV1,1432.375,7905.131,3669.828,8857.859,0.967,0.19,-0.17
AGV1,1432.216,7905.052,3668.74,8836.33,0.968,0.18,-0.173
AGV1,1432.216,7905.052,3667.244,8814.972,0.966,0.199,-0.163
AGV1,1432.216,7905.052,3666.132,8793.388,0.967,0.193,-0.165
AGV1,1432.216,7905.052,3664.991,8771.765,0.966,0.193,-0.17
AGV1,1432.216,7905.052,3663.856,8749.972,0.967,0.194,-0.167
AGV1,1432.216,7905.052,3662.456,8728.428,0.972,0.155,-0.179
AGV1,1432.216,7905.052,3660.808,8707.148,0.975,0.14,-0.173
AGV1,1432.216,7905.052,3659.592,8685.591,0.977,0.132,-0.17
AGV1,1432.216,7905.052,3658.34,8663.929,0.979,0.121,-0.161
AGV1,1432.216,7905.052,3657.08,8642.302,0.976,0.149,-0.16
AGV1,1432.216,7905.052,3655.512,8621.072,0.976,0.147,-0.16
AGV1,1432.134,7904.179,3654.114,8599.427,0.977,0.145,-0.158
AGV1,1432.134,7904.179,3652.616,8578.074,0.979,0.143,-0.148
AGV1,1432.134,7904.179,3650.995,8556.563,0.984,0.085,-0.159
AGV1,1432.134,7904.179,3649.567,8535.094,0.983,0.067,-0.168
AGV1,1432.134,7904.179,3647.772,8513.661,0.983,0.051,-0.175
AGV1,1432.134,7904.179,3646.26,8492.0,0.987,0.06,-0.146
AGV1,1432.134,7904.179,3644.316,8470.589,0.988,0.045,-0.149
AGV1,1432.134,7904.179,3642.453,8448.97,0.989,0.038,-0.142
AGV1,1432.134,7904.179,3640.862,8427.468,0.99,0.04,-0.138
