AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1691.081,8536.567,3700.0,11579.905,-0.371,-0.081,-0.925
AGV1,1691.081,8536.567,3699.993,11579.695,-0.382,-0.071,-0.921
AGV1,1691.081,8536.567,3699.996,11578.246,-0.417,-0.085,-0.905
AGV1,1691.081,8536.567,3700.001,11575.325,-0.457,-0.102,-0.883
AGV1,1691.081,8536.567,3700.004,11570.847,-0.496,-0.172,-0.851
AGV1,1691.092,8536.555,3700.002,11564.641,-0.455,-0.739,-0.497
AGV1,1691.707,8536.007,3700.001,11556.888,-0.092,-0.995,0.027
AGV1,1692.049,8535.893,3700.002,11547.542,-0.089,-0.996,-0.002
AGV1,1692.136,8537.963,3700.005,11536.501,0.056,-0.998,-0.011
AGV1,1691.764,8538.57,3700.008,11523.737,0.03,-0.996,-0.08
AGV1,1686.33,8546.593,3700.009,11509.588,0.017,-0.994,-0.102
AGV1,1677.54,8558.366,3700.009,11493.752,0.004,-0.99,-0.143
AGV1,1671.309,8564.242,3700.01,11476.142,0.082,-0.827,-0.555
AGV1,1666.765,8564.98,3700.012,11456.901,0.085,-0.739,-0.668
AGV1,1666.11,8565.095,3700.015,11436.172,0.126,-0.642,-0.756
AGV1,1666.11,8565.095,3700.017,11413.791,0.162,-0.614,-0.772
AGV1,1666.11,8565.095,3700.019,11389.751,0.185,-0.646,-0.741
AGV1,1666.315,8567.958,3700.021,11364.009,0.179,-0.695,-0.696
AGV1,1664.782,8566.82,3700.024,11336.766,0.007,-0.972,-0.234
AGV1,1664.432,8566.433,3700.027,11307.948,0.004,-0.969,-0.248
AGV1,1663.996,8565.969,3700.03,11277.504,0.074,-0.984,-0.161
AGV1,1664.482,8566.902,3700.034,11245.335,0.159,-0.981,-0.105
AGV1,1660.039,8561.593,3700.038,11211.251,0.171,-0.976,-0.131
AGV1,1653.111,8549.893,3700.043,11176.388,0.495,-0.836,-0.235
AGV1,1649.004,8542.573,3700.048,11139.372,0.771,-0.577,-0.269
AGV1,1646.864,8535.569,3700.054,11100.952,0.879,-0.463,-0.114
AGV1,1644.778,8527.712,3700.061,11060.591,0.886,-0.457,-0.076
AGV1,1642.734,8521.636,3700.068,11018.823,0.879,-0.472,-0.06
AGV1,1642.13,8520.815,3700.076,10975.418,0.887,-0.454,-0.079
AGV1,1643.186,8518.822,3700.085,10929.769,0.888,-0.449,-0.098
AGV1,1645.444,8515.022,3700.095,10882.401,0.839,-0.532,-0.115
AGV1,1647.711,8508.941,3700.106,10833.006,0.501,-0.838,-0.216
AGV1,1648.353,8503.783,3700.118,10782.008,-0.161,-0.979,-0.123
AGV1,1647.835,8499.953,3700.13,10728.194,-0.106,-0.986,-0.129
AGV1,1647.235,8499.325,3700.144,10672.334,-0.039,-0.987,-0.152
AGV1,1642.818,8493.612,3700.159,10614.165,-0.225,-0.962,-0.152
AGV1,1634.859,8482.197,3700.175,10553.691,-0.348,-0.924,-0.157
AGV1,1623.868,8468.072,3700.193,10490.103,-0.297,-0.939,-0.169
AGV1,1614.616,8455.432,3700.212,10424.571,-0.241,-0.965,-0.102
AGV1,1605.458,8438.479,3700.232,10359.362,0.071,-0.992,-0.106
AGV1,1596.371,8421.016,3700.251,10294.189,0.113,-0.987,-0.115
AGV1,1589.458,8404.631,3700.27,10228.75,0.097,-0.988,-0.118
AGV1,1586.624,8387.773,3700.29,10163.302,0.063,-0.989,-0.13
AGV1,1586.113,8374.019,3700.309,10097.935,0.008,-0.989,-0.146
AGV1,1584.144,8356.559,3700.329,10032.197,0.007,-0.996,-0.082
AGV1,1582.136,8337.156,3700.348,9966.864,0.078,-0.962,-0.261
AGV1,1581.471,8319.682,3700.368,9901.592,0.036,-0.967,-0.251
AGV1,1581.864,8314.393,3700.386,9835.764,0.045,-0.949,-0.313
AGV1,1581.042,8299.971,3699.96,9770.824,0.057,-0.943,-0.327
AGV1,1579.346,8288.363,3698.251,9704.465,0.095,-0.945,-0.312
AGV1,1577.685,8276.967,3697.451,9639.366,0.112,-0.956,-0.272
AGV1,1574.908,8263.375,3696.583,9574.326,0.103,-0.965,-0.241
AGV1,1570.532,8248.339,3694.911,9509.059,0.035,-0.973,-0.227
AGV1,1565.45,8236.038,3693.205,9443.116,0.028,-0.976,-0.214
