AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1567.261,8544.574,3700.0,11579.905,0.628,-0.121,-0.768
AGV1,1567.261,8544.574,3699.994,11579.699,0.649,-0.127,-0.75
AGV1,1567.261,8544.574,3699.996,11578.282,0.667,-0.137,-0.732
AGV1,1567.261,8544.574,3700.001,11575.406,0.539,-0.057,-0.84
AGV1,1569.242,8545.025,3700.003,11571.043,0.526,-0.135,-0.839
AGV1,1571.488,8545.539,3700.002,11564.866,0.533,-0.165,-0.829
AGV1,1571.543,8545.55,3700.0,11557.083,0.5,-0.144,-0.854
AGV1,1571.543,8545.55,3700.001,11547.557,0.493,-0.17,-0.853
AGV1,1571.543,8545.55,3700.004,11536.536,0.449,-0.165,-0.878
AGV1,1571.543,8545.55,3700.006,11523.954,0.419,-0.175,-0.891
AGV1,1571.543,8545.55,3700.007,11509.656,0.391,-0.166,-0.905
AGV1,1573.66,8545.271,3700.008,11493.728,0.366,-0.188,-0.911
AGV1,1578.995,8545.387,3700.009,11476.253,0.325,-0.22,-0.92
AGV1,1581.016,8546.487,3700.011,11457.009,0.194,-0.202,-0.96
AGV1,1579.236,8546.451,3700.013,11436.264,0.252,-0.261,-0.931
AGV1,1578.1,8546.224,3700.015,11413.784,0.187,-0.212,-0.959
AGV1,1577.212,8547.275,3700.017,11389.647,0.155,-0.19,-0.969
AGV1,1576.223,8549.112,3700.019,11364.075,0.092,-0.174,-0.98
AGV1,1577.009,8548.688,3700.022,11336.794,0.118,-0.199,-0.973
AGV1,1577.009,8548.688,3700.025,11307.835,0.036,-0.253,-0.967
AGV1,1577.009,8548.688,3700.028,11277.462,-0.128,-0.309,-0.942
AGV1,1576.97,8548.687,3700.031,11245.182,-0.151,-0.253,-0.956
AGV1,1576.877,8548.701,3700.036,11211.605,-0.093,-0.321,-0.942
AGV1,1576.877,8548.701,3700.041,11176.272,-0.008,-0.508,-0.861
AGV1,1576.877,8548.701,3700.046,11139.382,0.079,-0.653,-0.753
AGV1,1576.806,8549.138,3700.052,11101.055,0.134,-0.666,-0.734
AGV1,1575.283,8552.693,3700.059,11060.027,0.143,-0.71,-0.689
AGV1,1575.306,8553.022,3700.066,11019.401,0.127,-0.746,-0.653
AGV1,1576.799,8551.363,3700.074,10976.139,0.145,-0.973,-0.18
AGV1,1580.896,8546.074,3700.083,10930.626,0.09,-0.98,-0.174
